soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
du.wav,0,1,1,211,R,,,,,0,18,18,18,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,2,1,212,R,,,,,0,19,19,19,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,3,1,213,R,,,,,0,20,20,20,,,4,0.0744779109955,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,1,1,214,R,,,,,0,21,21,21,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pa.wav,0,2,1,215,R,,,,,0,22,22,22,,,3,0.0920350551605,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,3,1,216,R,,,,,0,23,23,23,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bi.wav,0,1,1,217,R,,,,,0,24,24,24,,,4,0.0585632324219,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
du.wav,0,2,1,218,R,,,,,0,25,25,25,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,3,1,219,R,,,,,0,26,26,26,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
du.wav,0,1,1,220,R,,,,,0,27,27,27,,,3,0.0587010383606,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,2,1,221,R,,,,,0,28,28,28,,,3,0.0205061435699,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,3,1,222,R,,,,,0,29,29,29,,,4,0.0419030189514,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bu.wav,0,1,1,223,R,,,,,0,30,30,30,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pa.wav,0,2,1,224,R,,,,,0,31,31,31,,,4,0.0251448154449,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,3,1,225,R,,,,,0,32,32,32,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pa.wav,0,1,1,226,R,,,,,0,33,33,33,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,2,1,227,R,,,,,0,34,34,34,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,3,1,228,R,,,,,0,35,35,35,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,1,1,229,R,,,,,0,36,36,36,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bu.wav,0,2,1,230,R,,,,,0,37,37,37,,,3,0.189004182816,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
