soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
pu.wav,0,2,1,275,R,0,82,82,82,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bu.wav,0,3,1,276,R,0,83,83,83,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,1,1,277,R,0,84,84,84,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,2,1,278,R,0,85,85,85,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
tu.wav,0,3,1,279,R,0,86,86,86,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
du.wav,0,1,1,280,R,0,87,87,87,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,2,1,281,R,0,88,88,88,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,3,1,282,R,0,89,89,89,,,,,None,,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ti.wav,0,1,1,283,R,0,90,90,90,,,,,2,0.250007152557,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
di.wav,0,2,1,284,R,0,91,91,91,,,,,2,0.189179182053,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
bi.wav,0,3,1,285,R,0,92,92,92,,,,,2,0.073634147644,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
ba.wav,0,1,1,286,R,0,93,93,93,,,,,2,0.0674448013306,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,2,1,287,R,0,94,94,94,,,,,2,0.0903489589691,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
pi.wav,0,3,1,288,R,0,95,95,95,,,,,2,0.422643184662,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,96,96,96,,,,,2,0.288506984711,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,97,97,97,,,,,2,0.220358133316,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,98,98,98,,,,,2,0.189857006073,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,99,99,99,,,,,2,0.107891082764,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,100,100,100,,,,,2,0.10591006279,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,101,101,101,,,,,2,0.454899072647,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,102,102,102,,,,,2,0.356708049774,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,103,103,103,,,,,2,0.29051399231,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,104,104,104,,,,,2,0.25702881813,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,105,105,105,,,,,2,0.239852905273,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,106,106,106,,,,,2,0.103367090225,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,107,107,107,,,,,2,0.253702878952,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
silence.wav,0,0,0,0,B,0,108,108,108,,,,,2,0.353425979614,,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,1,1,S,,,,,0,0,0,0,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,1,2,S,,,,,0,1,1,1,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,1,3,S,,,,,0,2,2,2,,,1,0.368728160858,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1A.wav,2,1,1,4,S,,,,,0,3,3,3,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1B.wav,2,2,1,5,S,,,,,0,4,4,4,,,1,0.384662866592,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1C.wav,2,3,1,6,S,,,,,0,5,5,5,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4A.wav,3,1,1,7,S,,,,,0,6,6,6,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4B.wav,3,2,1,8,S,,,,,0,7,7,7,,,1,0.307072877884,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4C.wav,3,3,1,9,S,,,,,0,8,8,8,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,2,10,S,,,,,0,9,9,9,,,2,0.405955076218,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,2,11,S,,,,,0,10,10,10,,,2,0.274199008942,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,2,12,S,,,,,0,11,11,11,,,2,0.138929128647,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,1,13,S,,,,,0,12,12,12,,,1,0.420067071915,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,1,14,S,,,,,0,13,13,13,,,2,0.320302963257,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,1,15,S,,,,,0,14,14,14,,,2,0.306226015091,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1A.wav,2,1,2,16,S,,,,,0,15,15,15,,,2,0.331119060516,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1B.wav,2,2,2,17,S,,,,,0,16,16,16,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1C.wav,2,3,2,18,S,,,,,0,17,17,17,,,2,0.0381360054016,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4A.wav,3,1,2,19,S,,,,,0,18,18,18,,,2,0.30638217926,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4B.wav,3,2,2,20,S,,,,,0,19,19,19,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4C.wav,3,3,2,21,S,,,,,0,20,20,20,,,2,0.172606945038,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,3,22,S,,,,,0,21,21,21,,,2,0.0403621196747,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,3,23,S,,,,,0,22,22,22,,,2,0.223935842514,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,3,24,S,,,,,0,23,23,23,,,2,0.0205159187317,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,2,25,S,,,,,0,24,24,24,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,2,26,S,,,,,0,25,25,25,,,2,0.304705142975,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,2,27,S,,,,,0,26,26,26,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1A.wav,2,1,3,28,S,,,,,0,27,27,27,,,2,0.359022855759,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1B.wav,2,2,3,29,S,,,,,0,28,28,28,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1C.wav,2,3,3,30,S,,,,,0,29,29,29,,,2,0.18824505806,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,3,31,S,,,,,0,30,30,30,,,1,0.374269008636,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,3,32,S,,,,,0,31,31,31,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,3,33,S,,,,,0,32,32,32,,,1,0.127706050873,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4A.wav,3,1,3,34,S,,,,,0,33,33,33,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4B.wav,3,2,3,35,S,,,,,0,34,34,34,,,2,0.103849172592,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4C.wav,3,3,3,36,S,,,,,0,35,35,35,,,1,0.338945865631,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,4,37,S,,,,,0,36,36,36,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,4,38,S,,,,,0,37,37,37,,,2,0.121876955032,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,4,39,S,,,,,0,38,38,38,,,2,0.437226057053,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4A.wav,3,1,4,40,S,,,,,0,39,39,39,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4B.wav,3,2,4,41,S,,,,,0,40,40,40,,,1,0.291211128235,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4C.wav,3,3,4,42,S,,,,,0,41,41,41,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,5,43,S,,,,,0,42,42,42,,,1,0.0539579391479,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,5,44,S,,,,,0,43,43,43,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,5,45,S,,,,,0,44,44,44,,,1,0.170531988144,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,4,46,S,,,,,0,45,45,45,,,2,0.255409955978,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,4,47,S,,,,,0,46,46,46,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,4,48,S,,,,,0,47,47,47,,,2,0.38495516777,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1A.wav,2,1,4,49,S,,,,,0,48,48,48,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1B.wav,2,2,4,50,S,,,,,0,49,49,49,,,2,0.25664305687,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1C.wav,2,3,4,51,S,,,,,0,50,50,50,,,2,0.427906990051,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4A.wav,3,1,5,52,S,,,,,0,51,51,51,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4B.wav,3,2,5,53,S,,,,,0,52,52,52,,,2,0.373953104019,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
4C.wav,3,3,5,54,S,,,,,0,53,53,53,,,1,0.425431013107,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,6,55,S,,,,,0,54,54,54,,,2,0.291630029678,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3B.wav,1,2,6,56,S,,,,,0,55,55,55,,,1,0.401126146317,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3C.wav,1,3,6,57,S,,,,,0,56,56,56,,,2,0.00630402565002,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,5,58,S,,,,,0,57,57,57,,,2,0.211925983429,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,5,59,S,,,,,0,58,58,58,,,1,0.153419971466,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,5,60,S,,,,,0,59,59,59,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1A.wav,2,1,5,61,S,,,,,0,60,60,60,,,1,0.372990131378,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1B.wav,2,2,5,62,S,,,,,0,61,61,61,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
1C.wav,2,3,5,63,S,,,,,0,62,62,62,,,1,0.224010944366,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2A.wav,4,1,6,64,S,,,,,0,63,63,63,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2B.wav,4,2,6,65,S,,,,,0,64,64,64,,,1,0.274477958679,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
2C.wav,4,3,6,66,S,,,,,0,65,65,65,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
3A.wav,1,1,7,67,S,,,,,0,66,66,66,,,None,,bi,3,sllip_012,61.2647910736,2C,auditory,2020_Jan_11_1018,
